country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
Mauritius,MUS,2021-07-27,,,,,16401.0,,,,12879.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://africacdc.org/covid-19-vaccination/
Lebanon,LBN,2021-10-17,3108749.0,1696621.0,1412128.0,433.0,11804.0,45.93,25.06,20.86,1744.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Lebanon,https://impact.cib.gov.lb/home/dashboard/vaccine
Wales,OWID_WLS,2021-08-21,4496930.0,2334512.0,2162418.0,6557.0,6052.0,141.86,73.64,68.22,1909.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/vaccinations
Georgia,GEO,2021-10-31,,,,,4638.0,,,,1165.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",National Center for Disease Control and Public Health,https://vaccines.ncdc.ge/vaccinationprocess/
Brunei,BRN,2021-10-21,,,,,3219.0,,,,7291.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
Vietnam,VNM,2022-01-26,179593670.0,78987718.0,,,1075202.0,182.94,80.46,,10953.0,"Abdala, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.gov.vn/ngay-23-3-so-mac-moi-covid-19-giam-con-127883-ca-tuyen-quang-bo-sung-gan-13000-f0-171220323181603013.htm
Moldova,MDA,2021-10-05,,,,,3435.0,,,,854.0,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://vaccinare.gov.md
Madagascar,MDG,2021-12-19,,,,,7645.0,,,,269.0,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
Guinea-Bissau,GNB,2021-11-19,,,,,4965.0,,,,2463.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
Mauritania,MRT,2021-06-02,,,,,1447.0,,,,303.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Africa Centres for Disease Control and Prevention,https://africacdc.org/covid-19-vaccination/
Turks and Caicos Islands,TCA,2021-02-23,,,,,312.0,,,,7954.0,Pfizer/BioNTech,World Health Organization,https://covid19.who.int/
Azerbaijan,AZE,2021-03-12,443888.0,443888.0,,7039.0,11692.0,4.34,4.34,,1144.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Government of Azerbaijan,https://koronavirusinfo.az
